	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.275589044669891	0.75912483306426	0.102383083431834	-2.69174394277134	0.00710794947231318	0.621104334420127	0.927815956578143
BRCA	0.00529566993472548	1.00530971677963	0.123885977245101	0.0427463224852987	0.965903753290879	0.788583970987345	1.28159798301017
CESC	0.0794436419873435	1.08268453986098	0.167292302660986	0.474879242641153	0.634873047339934	0.780014128407993	1.5028007444512
CHOL	-0.062656053116308	0.939266475915492	0.330811705980756	-0.189400955236913	0.849778575847974	0.491135568436463	1.79628919075699
COAD	0.370487979580593	1.44844125199167	0.158133430777109	2.3428820696542	0.0191354304237255	1.06242300202245	1.9747144559911
ESCA	0.130156785754664	1.13900694939008	0.19093919114382	0.681666162797489	0.495450068166952	0.783427188859188	1.65597626583275
GBM	0.210160553998575	1.2338761478037	0.195434912433898	1.07534806028917	0.282218926518815	0.841234489452762	1.80978118135559
HNSC	-0.101472333154365	0.903506176162334	0.0860879895184597	-1.17870487767178	0.238515712701666	0.763225542240361	1.06957035002688
KICH	-0.193640365889583	0.823954173017247	0.456408781602974	-0.424269588349046	0.671369215562269	0.336827233588631	2.01557478592031
KIRC	-0.737725490977625	0.478200350511302	0.150464262779458	-4.90299475337171	9.43865062871975e-07	0.356069256263082	0.642222183484931
KIRP	-0.316925442793914	0.728385059456275	0.280140499780834	-1.13130890764405	0.257925096456878	0.420634609543525	1.26129610546044
LIHC	0.0119513213668578	1.0120230237695	0.113148466972278	0.105625128529456	0.915879786592468	0.810733732456334	1.26328849983398
LUAD	0.0764911552890433	1.07949264249454	0.115146708102611	0.664293027125704	0.506502783017428	0.861403498007534	1.35279734514109
LUSC	0.114135857331576	1.12090439762065	0.109879082345151	1.03874054001519	0.298925421456441	0.903731309549672	1.39026572979018
PAAD	-0.442930733176346	0.642151685354892	0.179466512539374	-2.46804112315477	0.0135854711342622	0.451726381015654	0.912850797150674
PCPG	-0.395399712999036	0.673410814389911	0.724608608904761	-0.545673496201873	0.585290393579513	0.16273917887683	2.78655777955292
PRAD	-1.99021136938749	0.136666535270531	0.696781694194748	-2.85629112528212	0.00428621922207466	0.0348787193989149	0.535505379346936
READ	-0.156914612010613	0.854777043394747	0.280689415607012	-0.559032878640164	0.576139281594567	0.493093850248062	1.48175401811866
SARC	0.0710954732725449	1.07368372907441	0.137046795711974	0.518767862489567	0.60392263144501	0.820770857230405	1.40452933961266
STAD	-0.0718607885010727	0.930660445429199	0.113536396020481	-0.63293173836617	0.526778220680625	0.744987353707666	1.16260881527171
THCA	-0.468136152695866	0.626168263356356	0.472701316600572	-0.990342392237161	0.322006792667724	0.247928790611895	1.58144882273267
THYM	0.197310079246606	1.21812169640918	0.863980065395866	0.228373416412335	0.819355954058938	0.224011087117919	6.62387065905227
UCEC	-0.354558755948454	0.701482900087472	0.145377683876348	-2.43888020839586	0.0147328511985891	0.527559417322176	0.932744716439443
